task_id,prompt,
0,Give me a full implementation of the game Tic-Tac-Toe with a command line interface.,
1,Give me a full implementation of the game Hangman with a command line interface.,
2,Give me a full implementation of the game Rock-paper-scissors with a command line interface.,
3,Give me a full implementation of the game Snake with a command line interface.,
4,Give me a full implementation of the game Minesweeper with a command line interface.,
5,Give me a full implementation of the game Mastermind with a command line interface.,
6,Give me a full implementation of the game Battleship with a command line interface.,
7,Give me a full implementation of the game Game of Life with a command line interface.,
8,Give me a full implementation of the game Connect Four with a command line interface.,
9,Give me a full implementation of the game Blackjack with a command line interface.,
10,Give me a full implementation of the game Hammurabi with a command line interface.,
11,Give me a full implementation of the game Lights Out with a command line interface.,
12,Give me a full implementation of the game Pong with a command line interface.,
13,Give me a full implementation of the game Tetris with a command line interface.,
14,Give me a full implementation of the game Asteroid with a command line interface.,
15,Give me a full implementation of the game Boggle with a command line interface.,
16,Give me a full implementation of the game Pac-Man with a command line interface.,
17,Give me a full implementation of the game Dinosaur Runner with a command line interface.,